strategy,run,seed_node,final_reached,reach_fraction,peak_infected,peak_step,duration_steps
top_degree,0,160,871,0.8666666666666667,617,4,25
top_degree,1,160,886,0.881592039800995,582,4,25
top_degree,2,160,883,0.8786069651741294,611,4,25
top_degree,3,160,875,0.8706467661691543,582,4,25
top_degree,4,160,868,0.863681592039801,587,4,25
top_degree,5,160,883,0.8786069651741294,555,4,25
top_degree,6,160,885,0.8805970149253731,618,4,25
top_degree,7,160,867,0.8626865671641791,555,4,25
top_degree,8,160,868,0.863681592039801,556,4,25
top_degree,9,160,882,0.8776119402985074,599,4,25
top_degree,10,160,876,0.8716417910447761,588,4,25
top_degree,11,160,876,0.8716417910447761,565,4,25
top_degree,12,160,886,0.881592039800995,600,4,25
top_degree,13,160,885,0.8805970149253731,588,4,25
top_degree,14,160,886,0.881592039800995,581,4,25
top_degree,15,160,874,0.8696517412935323,605,4,25
top_degree,16,160,871,0.8666666666666667,574,4,25
top_degree,17,160,871,0.8666666666666667,576,4,25
top_degree,18,160,867,0.8626865671641791,578,4,25
top_degree,19,160,882,0.8776119402985074,572,4,25
top_degree,20,160,877,0.872636815920398,582,4,25
top_degree,21,160,873,0.8686567164179104,575,4,25
top_degree,22,160,874,0.8696517412935323,600,4,25
top_degree,23,160,873,0.8686567164179104,582,4,25
top_degree,24,160,883,0.8786069651741294,591,4,25
top_degree,25,160,874,0.8696517412935323,583,4,25
top_degree,26,160,873,0.8686567164179104,561,4,25
top_degree,27,160,876,0.8716417910447761,575,4,25
top_degree,28,160,878,0.8736318407960199,589,4,25
top_degree,29,160,867,0.8626865671641791,596,4,25
random,0,379,864,0.8597014925373134,566,5,25
random,1,686,2,0.001990049751243781,2,1,1
random,2,623,873,0.8686567164179104,573,5,25
random,3,546,876,0.8716417910447761,570,5,25
random,4,167,868,0.863681592039801,567,5,25
random,5,276,870,0.8656716417910447,585,6,25
random,6,701,1,0.0009950248756218905,1,0,4
random,7,841,882,0.8776119402985074,572,7,25
random,8,274,885,0.8805970149253731,607,6,25
random,9,935,874,0.8696517412935323,569,11,25
random,10,671,887,0.882587064676617,580,5,25
random,11,905,872,0.8676616915422886,571,6,25
random,12,271,879,0.8746268656716418,572,5,25
random,13,762,1,0.0009950248756218905,1,0,1
random,14,919,882,0.8776119402985074,604,6,25
random,15,370,866,0.8616915422885573,576,5,25
random,16,521,883,0.8786069651741294,604,7,25
random,17,773,877,0.872636815920398,580,6,25
random,18,642,875,0.8706467661691543,575,5,25
random,19,610,877,0.872636815920398,575,7,25
random,20,390,890,0.8855721393034826,584,5,25
random,21,696,1,0.0009950248756218905,1,0,1
random,22,698,878,0.8736318407960199,570,6,25
random,23,787,1,0.0009950248756218905,1,0,4
random,24,114,883,0.8786069651741294,581,4,25
random,25,161,867,0.8626865671641791,569,6,25
random,26,976,868,0.863681592039801,577,5,25
random,27,995,1,0.0009950248756218905,1,0,3
random,28,891,1,0.0009950248756218905,1,0,2
random,29,861,1,0.0009950248756218905,1,0,6
