step,S,I,R,ever_reached,strategy,run,seed_node
0,1004,1,0,1,top_degree,0,160
1,970,35,0,35,top_degree,0,160
2,824,175,6,181,top_degree,0,160
3,481,493,31,524,top_degree,0,160
4,271,617,117,734,top_degree,0,160
5,205,568,232,800,top_degree,0,160
6,176,485,344,829,top_degree,0,160
7,155,410,440,850,top_degree,0,160
8,147,332,526,858,top_degree,0,160
9,141,270,594,864,top_degree,0,160
10,141,221,643,864,top_degree,0,160
11,140,187,678,865,top_degree,0,160
12,139,159,707,866,top_degree,0,160
13,137,125,743,868,top_degree,0,160
14,136,100,769,869,top_degree,0,160
15,136,84,785,869,top_degree,0,160
16,136,68,801,869,top_degree,0,160
17,136,56,813,869,top_degree,0,160
18,136,43,826,869,top_degree,0,160
19,136,33,836,869,top_degree,0,160
20,135,28,842,870,top_degree,0,160
21,135,21,849,870,top_degree,0,160
22,135,17,853,870,top_degree,0,160
23,135,14,856,870,top_degree,0,160
24,134,13,858,871,top_degree,0,160
25,134,12,859,871,top_degree,0,160
0,1004,1,0,1,top_degree,1,160
1,974,30,1,31,top_degree,1,160
2,869,130,6,136,top_degree,1,160
3,537,437,31,468,top_degree,1,160
4,307,582,116,698,top_degree,1,160
5,212,566,227,793,top_degree,1,160
6,175,494,336,830,top_degree,1,160
7,150,424,431,855,top_degree,1,160
8,138,358,509,867,top_degree,1,160
9,135,286,584,870,top_degree,1,160
10,132,233,640,873,top_degree,1,160
11,127,186,692,878,top_degree,1,160
12,126,144,735,879,top_degree,1,160
13,124,110,771,881,top_degree,1,160
14,124,89,792,881,top_degree,1,160
15,122,83,800,883,top_degree,1,160
16,120,70,815,885,top_degree,1,160
17,120,57,828,885,top_degree,1,160
18,119,48,838,886,top_degree,1,160
19,119,38,848,886,top_degree,1,160
20,119,33,853,886,top_degree,1,160
21,119,25,861,886,top_degree,1,160
22,119,22,864,886,top_degree,1,160
23,119,15,871,886,top_degree,1,160
24,119,12,874,886,top_degree,1,160
25,119,12,874,886,top_degree,1,160
0,1004,1,0,1,top_degree,2,160
1,963,42,0,42,top_degree,2,160
2,783,213,9,222,top_degree,2,160
3,419,532,54,586,top_degree,2,160
4,248,611,146,757,top_degree,2,160
5,188,561,256,817,top_degree,2,160
6,162,481,362,843,top_degree,2,160
7,154,398,453,851,top_degree,2,160
8,143,342,520,862,top_degree,2,160
9,140,274,591,865,top_degree,2,160
10,138,228,639,867,top_degree,2,160
11,136,180,689,869,top_degree,2,160
12,133,149,723,872,top_degree,2,160
13,129,123,753,876,top_degree,2,160
14,129,103,773,876,top_degree,2,160
15,127,86,792,878,top_degree,2,160
16,126,66,813,879,top_degree,2,160
17,126,53,826,879,top_degree,2,160
18,126,42,837,879,top_degree,2,160
19,126,28,851,879,top_degree,2,160
20,124,24,857,881,top_degree,2,160
21,124,17,864,881,top_degree,2,160
22,123,15,867,882,top_degree,2,160
23,123,14,868,882,top_degree,2,160
24,122,13,870,883,top_degree,2,160
25,122,9,874,883,top_degree,2,160
0,1004,1,0,1,top_degree,3,160
1,952,53,0,53,top_degree,3,160
2,765,228,12,240,top_degree,3,160
3,408,540,57,597,top_degree,3,160
4,259,582,164,746,top_degree,3,160
5,211,509,285,794,top_degree,3,160
6,175,448,382,830,top_degree,3,160
7,158,369,478,847,top_degree,3,160
8,147,313,545,858,top_degree,3,160
9,137,246,622,868,top_degree,3,160
10,137,189,679,868,top_degree,3,160
11,135,145,725,870,top_degree,3,160
